"주택유형별(1)","지역별(1)",지역별(2),지역별(3),지역별(4),2025.11,2025.12,2026.01,2026.02,2026.03,2026.04
"아파트","경기",서해안권,화성,만세,-,-,-,68.35064024,68.6602505,69.5482828
"아파트","경기",서해안권,화성,효행,-,-,-,72.11084155,72.22669149,72.50802779
"아파트","경기",서해안권,화성,병점,-,-,-,70.35010721,70.74276246,71.08194626
"아파트","경기",서해안권,화성,동탄,-,-,-,57.16957728,57.38089897,57.4545838
"아파트","충북",청주,서원,소계,84.5232772,84.63753883,85.0919424,85.11922466,85.46911044,85.6365953
"아파트","전남",목포,소계,소계,83.84993391,84.12252046,84.19942107,84.19790393,84.39133941,84.32714402
"아파트","전남",광양,소계,소계,83.73462351,83.74624978,83.87930347,83.98787986,84.18175174,84.27487808
"아파트","경남",창원,마산회원,소계,83.69527031,83.36275658,83.20231584,83.07063154,83.03271238,83.08647875
"아파트","경기",동부2권,이천,소계,83.37327434,83.4515681,83.45794067,83.59951219,83.60788906,83.71967735
"아파트","전북",익산,소계,소계,82.58992029,82.61039486,82.94194772,83.33840961,83.54430175,83.90640797
"아파트","경북",포항,북,소계,82.5772498,82.64238682,82.66738352,82.67508938,82.78215652,82.85884816
"아파트","경남",창원,마산합포,소계,82.26948213,82.29043241,82.34140359,82.25288199,82.33312284,82.38187495
"아파트","전북",군산,소계,소계,82.26103565,82.40691947,82.42741859,82.46063437,82.45896846,82.47263439
"아파트","경북",포항,소계,소계,82.05867231,82.13430256,82.22753368,82.29546565,82.39832185,82.470531
"아파트","경기",동부2권,소계,소계,81.79982473,81.82991859,81.81489363,82.02374455,82.29539614,82.29977363
"아파트","경기",동부2권,여주,소계,81.72077127,81.81621652,81.83018407,81.89209713,82.00747382,82.10846917
"아파트","경남",사천,소계,소계,81.70502091,81.69704777,81.93434228,82.06103375,82.094518,82.18221408
"아파트","충북",청주,상당,소계,81.61289203,81.72313448,81.80215977,81.90472231,81.88822027,81.82993506
"아파트","전남",순천,소계,소계,81.40893745,81.09155633,81.0908242,81.15730482,81.35213373,81.62879825
"아파트","경북",구미,소계,소계,81.36681022,81.50215732,81.51899422,81.34942748,81.43202194,81.7818485
"아파트","충남",서산,소계,소계,81.2872966,81.11269436,81.07647161,81.10886295,81.28848323,81.40968164
"아파트","경북",포항,남,소계,81.21471744,81.30742481,81.5117035,81.62309323,81.7184912,81.78276116
"아파트","강원",춘천,소계,소계,80.39315497,80.29755691,80.23145088,80.1850716,80.12189824,80.09533466
"아파트","경남",거제,소계,소계,80.22998964,80.83486675,81.31495233,81.91074326,82.30756964,82.709134
"아파트","광주",북,소계,소계,80.15551038,80.27947155,80.46260359,80.55996176,80.68427185,80.84566369
"아파트","충북",청주,소계,소계,79.78820816,79.91594408,80.04720043,80.064816,80.15251504,80.16977616
"아파트","경남",김해,소계,소계,79.57337611,79.66383682,79.86637109,79.97794279,79.90896096,80.16658061
"아파트","경북",경산,소계,소계,79.49330791,79.64739228,79.91575846,80.07497851,80.19753853,80.42850075
"아파트","강원",원주,소계,소계,78.89372139,78.85866092,78.88429088,78.85337688,79.08806991,79.0732241
